City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,chinsali,-10.5414,32.0816,13.590000000000032,63,2,3.3,ZM,1691185665
127,alofi,-19.0595,-169.9187,21.939999999999998,100,100,7.72,NU,1691185665
128,kolonia town,6.964,158.206,26.0,94,100,2.06,FM,1691185666
129,redding,40.5865,-122.3917,37.57000000000005,23,0,3.6,US,1691185657
130,port douglas,-16.4833,145.4667,20.400000000000034,76,82,6.75,AU,1691185666
131,mahina,-17.5065,-149.489,26.870000000000005,69,75,5.14,PF,1691185667
132,celestun,20.8667,-90.4,29.78000000000003,72,59,6.93,MX,1691185668
133,blackmans bay,-43.0167,147.3167,8.740000000000009,74,100,6.42,AU,1691185669
134,ilulissat,69.2167,-51.1,8.010000000000048,71,75,1.54,GL,1691185669
135,sakaraha,-22.9,44.5333,15.900000000000034,66,3,2.09,MG,1691185670
136,kabare,-2.4683,28.8242,17.010000000000048,73,78,0.48,CD,1691185670
137,jamestown,42.097,-79.2353,26.120000000000005,55,0,5.66,US,1691185539
138,cheremukhovo,60.3484,59.9851,15.510000000000048,96,43,1.68,RU,1691185671
139,kodiak,57.79,-152.4072,13.730000000000018,77,100,3.09,US,1691185672
140,nguigmi,14.2495,13.1092,28.810000000000002,66,83,3.95,NE,1691185672
141,tual,-5.6667,132.75,25.939999999999998,81,52,10.35,ID,1691185673
142,egilsstadir,65.2653,-14.3948,9.950000000000045,71,20,3.09,IS,1691185673
143,nar'yan-mar,67.6713,53.087,20.27000000000004,72,60,3.35,RU,1691185674
144,keflavik,64.0049,-22.5624,12.240000000000009,76,100,1.54,IS,1691185674
145,kailua-kona,19.6406,-155.9956,28.980000000000018,70,20,6.69,US,1691185675
146,sao jose da coroa grande,-8.8978,-35.1478,23.08000000000004,70,8,3.1,BR,1691185677
147,robore,-18.3333,-59.75,34.05000000000001,52,0,0.0,BO,1691185678
148,nieul-sur-mer,46.2058,-1.1645,17.140000000000043,77,20,7.2,FR,1691185678
149,cidreira,-30.1811,-50.2056,17.760000000000048,90,68,0.26,BR,1691185679
150,invercargill,-46.4,168.35,2.230000000000018,99,100,1.34,NZ,1691185659
151,kralendijk,12.15,-68.2667,30.99000000000001,66,40,7.72,BQ,1691185681
152,fortaleza,-3.7227,-38.5247,27.07000000000005,74,0,5.14,BR,1691185203
153,honiara,-9.4333,159.95,25.720000000000027,91,98,2.28,SB,1691185682
154,praia da vitoria,38.7333,-27.0667,24.140000000000043,73,20,4.57,PT,1691185683
155,meads,38.4126,-82.7091,32.94,43,20,3.13,US,1691185683
156,palikir - national government center,6.9248,158.1611,25.410000000000025,94,100,2.06,FM,1691185684
157,klaksvik,62.2266,-6.589,8.510000000000048,81,100,1.97,FO,1691185685
158,puerto deseado,-47.7503,-65.8938,4.75,62,0,3.17,AR,1691185685
159,saipan,15.1355,145.701,28.689999999999998,100,0,1.54,MP,1691185686
160,palembang,-2.9167,104.7458,25.05000000000001,88,40,1.54,ID,1691185687
161,aykhal,66.0,111.5,8.5,96,100,5.56,RU,1691185690
162,qoryooley,1.7878,44.53,23.390000000000043,87,62,5.59,SO,1691185691
163,oranjemund,-28.55,16.4333,12.650000000000034,85,0,1.4,NA,1691185691
164,davos,46.8043,9.8372,8.950000000000045,99,100,3.26,CH,1691185692
165,bilibino,68.0546,166.4372,6.330000000000041,91,100,3.75,RU,1691185693
166,kualakapuas,-3.0091,114.3876,23.32000000000005,95,2,1.4,ID,1691185693
167,codrington,-38.2667,141.9667,10.370000000000005,68,100,5.89,AU,1691185694
168,takestan,36.0696,49.6959,20.28000000000003,56,98,5.17,IR,1691185694
169,talnakh,69.4865,88.3972,14.560000000000002,57,52,0.61,RU,1691185695
170,viedma,-40.8135,-62.9967,7.330000000000041,52,0,1.77,AR,1691185695
171,tallahassee,30.4383,-84.2807,36.910000000000025,60,40,4.12,US,1691185622
172,umm kaddadah,13.6017,26.6876,25.900000000000034,66,100,3.15,SD,1691185697
